Title,Star Rating,Rating Count,Category,Reviews,URL,Search Term,Sentiment
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,"Not good NG mobile, not on in phone west time money",https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Not good totally china material,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,This phone is charging not supporting,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Good,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Good,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Phone battery not good,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,This product should not be sold by Flipkart. ☹️This product is very bad.🤬 I can't even describe how bad it is.🤨,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Good,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Ok..... Yes,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Not good phone not Bai,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Worth,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
